Rodada,Duração (s),CO2 (g),CO2eq/s (g/s)
1,17.232504328000005,0.009606517079901776,0.0005574649451439715
2,16.8540499799999,0.009102166813838096,0.0005400581358569194
3,16.932302025000126,0.009144098518923092,0.000540038708583278
4,16.914404117999993,0.00908675766528191,0.0005372200877955819
5,17.515725470000007,0.009961266161226077,0.0005687041726183251
6,16.968528508999952,0.009126831954494291,0.0005378682040492494
7,16.916144543999962,0.009530561749619994,0.0005634003495790899
8,16.95295246700016,0.00941371251684044,0.0005552845461676803
9,17.05513346500038,0.009294448421019577,0.0005449648599990811
10,17.078684246000194,0.00919951397776317,0.0005386547256951415
Total (TE / TCO2),170.42042915200068,0.09346587485890842,
Média (ME),17.042042915200067,0.009346587485890841,0.0005483658735488318
